person_id,call_count_with_suspects,night_movements_hours,gps_zone_visits,encrypted_app_usage_hours,social_media_threat_score,vpn_usage,device_changes_last_30_days,suspicious_contacts_count,avg_call_duration_min,microphone_activation_events,camera_activation_events,account_login_failures,location_change_frequency,suspicious,last_activity_time,related_person_ids,military_zone_proximity_score
48,3,1.8009883372554178,1,0.30356576386195444,0.43603586760993895,0,1,2,2.376604633398106,2,1,2,1.090886841104965,0,2025-05-11 07:41:46.134045,"5565,5571",2.7710673034368587
49,1,1.3550853830237228,1,0.29223340200110315,0.8218323316682081,1,0,1,3.087042236402923,0,2,3,0.9519628442348836,0,2025-05-25 11:23:46.134045,"1197,4590",1.3456227724995509
50,6,1.258478940296632,1,0.9743909695541318,0.01374341536485535,0,2,1,2.5667053747366495,1,0,1,1.9893808860218836,0,2025-05-16 08:30:46.134045,"9830,3239",5.115079073242534
51,1,1.7020213332079694,7,0.9454474571643784,0.5986195321350689,1,0,4,4.739718772870571,1,0,0,1.5170343573895313,0,2025-05-31 06:18:46.134045,"3763,1573,3013",2.3203690535039465
52,5,0.35452391296408514,6,0.8113826003232518,0.8925788100152923,0,0,1,3.054300390813517,1,1,1,1.5147593312356813,0,2025-05-29 19:54:46.134045,"792,7836,455,4569,4526",1.5364630026866335
53,4,0.04240370618945777,8,2.863849869204679,0.14762705845252178,0,1,1,3.0009160872008938,0,0,0,1.400093637227397,0,2025-05-26 17:25:46.134045,"840,5831,8510,3053,416",2.530429844743885
54,3,2.0980554899196386,2,5.807986399608572,0.11557361686297973,0,0,2,2.3546448810077534,2,0,3,1.1515158770787428,0,2025-06-05 18:32:46.134045,"2776,9613",2.509935194429894
55,2,2.1147348742649905,0,0.6573462739942123,0.9997864387066695,1,1,1,2.8248343310128625,0,0,3,0.7577377620032212,0,2025-05-09 00:17:46.134045,"7706,715,9126",3.2418063141511895
56,3,2.8794005800539972,5,0.5235080049649852,0.8259589346989895,0,1,6,1.0953429035562712,1,2,4,0.5646616103122231,1,2025-06-03 10:24:46.134045,"3877,2009,5960,2427,1594",4.35341261207715
57,2,1.744434689629228,8,2.2052366211112777,0.6974185154141039,0,0,1,2.6188215248497806,3,0,2,0.5490364014651612,0,2025-05-21 11:11:46.134045,"1488,1024,7254,517,4496",2.7601266555598425
58,6,0.806372786892471,0,0.8961909108296799,0.39898123259545226,0,0,2,4.84529784286273,1,1,1,0.7342556739298798,0,2025-05-31 10:07:46.134045,"2254,6057,3302,2937,8891",5.337579736064887
59,2,0.060353184802033555,0,0.3680235284896773,0.8539629741688838,0,0,4,1.9497361390059553,0,0,2,0.7121837655440699,0,2025-06-03 15:23:46.134045,3501,2.972366099514722
60,6,1.1098039240431339,3,0.2993955557712564,0.9227730055410107,0,0,2,3.5007689847265775,2,0,2,0.0,0,2025-05-09 15:13:46.134045,1140,5.992972721526866
61,3,2.422519744057519,9,0.49393939704723444,0.732408548065399,0,0,4,4.836696978667167,0,0,3,1.159536163685229,0,2025-05-19 14:16:46.134045,"246,4582,7941,3239,6053",5.785200500667127
62,0,3.441448903408922,0,0.0019867581632095274,0.39809477974649177,1,1,2,3.422257911232723,4,0,4,1.2685386496454372,0,2025-06-04 03:06:46.134045,"4873,9297,4766,3374,3235",1.709711821177529
63,5,2.054085412771514,8,4.256297415369282,0.5835371078352136,0,1,2,2.5102507357860997,1,0,0,1.1756191327635497,0,2025-05-10 21:27:46.134045,7006,5.43098402469426
64,0,0.7864101096638882,5,0.843833458554275,0.09851726297308983,1,1,4,3.9719976757565245,1,2,2,2.5241849196199766,0,2025-05-10 22:47:46.134045,"1383,2888,181",1.4520254551216372
65,6,1.1200793974949301,4,0.12972173967067,0.15802047510762451,0,0,2,2.9593581408593894,1,2,4,1.0118672171605922,0,2025-05-11 15:09:46.134045,"5089,6922,6208",4.048746792384399
66,2,1.1512940759356822,4,0.27040831822352085,0.7830373428921408,0,1,3,4.322064224583776,1,3,0,1.4841324758897831,0,2025-05-22 22:53:46.134045,"502,7886,8178,5975",7.15740964106862
67,4,1.5940113984351894,1,0.5858746657881079,0.029315472153112032,0,0,0,3.4781506418422654,0,2,2,1.405098448169415,0,2025-05-19 04:37:46.134045,"8196,8690,1520,5326,6123",7.240655654027805
68,3,3.12089542499487,2,1.203418675742832,0.049195997302384664,0,1,3,0.6091607663731526,1,0,2,0.41874702269513153,0,2025-05-08 09:02:46.134045,"8574,8111",1.131352903744928
69,5,3.1989094501567816,6,1.8246556395301203,0.5080234915859527,0,0,1,2.190760592286177,1,0,0,1.1170935732149696,0,2025-05-13 15:33:46.134045,"1364,8652",0.8516920481852388
70,8,1.8277441052251135,3,0.551931452257157,0.1705292762587075,0,0,1,3.364667500208749,1,0,4,0.8843773964245563,0,2025-05-09 07:19:46.134045,"2200,3937,5055",1.7325057343045305
71,4,2.1830701101135976,5,4.741493585875748,0.293704077650797,0,1,2,4.590720156828686,2,0,2,1.5080994792384486,0,2025-05-31 07:17:46.134045,"234,5197",6.743974051369969
72,1,1.2024421071265343,7,2.1426251939715293,0.3988314247870419,0,0,2,4.197129086657053,1,1,1,0.9055887260008757,0,2025-05-23 12:21:46.134045,"5515,7914,9684,4359",2.863765525718261
73,3,0.2900915556462935,0,2.6213162296625763,0.5222554006522371,0,0,1,4.380464864216673,0,1,0,0.20456512606332944,0,2025-05-11 03:41:46.134045,"3473,34",2.202452943200404
74,0,3.7883383534627457,5,0.5865573169567317,0.28353472127729795,0,1,4,2.7593587755628133,1,3,0,1.0685306343527652,0,2025-05-11 03:21:46.134045,6852,2.2203728681539987
75,0,0.0,0,0.7193810040424993,0.48354646909248944,0,1,1,2.0432047908865463,0,0,2,1.3605495596837813,0,2025-05-19 01:28:46.134045,"7890,7077,8221,3762,5606",5.373184201546044
76,2,0.16415968233544742,7,1.1584861938015902,0.37068457915513164,0,0,0,2.141073363747111,2,1,3,0.5736942938322983,0,2025-05-17 10:00:46.134045,"1168,9593,3877,367,3905",3.920508900305642
77,4,3.7964058551596462,3,0.901390733041669,0.08103110957801674,0,0,2,1.9498011884590174,1,1,0,0.764627964607956,0,2025-05-28 09:55:46.134045,8702,2.111581790807891
78,1,2.0166154046704468,4,0.45143831259338607,0.8671273830352563,0,1,2,6.291107006376727,2,2,0,0.5888368024976895,0,2025-05-13 21:23:46.134045,"8931,1634,1546",6.168847835701987
79,5,0.8740850929119572,9,8.855684742871064,0.281365903205251,0,0,1,5.7513401152017405,2,2,1,0.5123696756017877,1,2025-05-25 16:19:46.134045,9156,6.934078442526538
80,3,2.6827036310893115,1,2.8293450286582704,0.6093732661473082,0,0,2,1.212380422623347,2,0,2,1.0831115065311547,0,2025-05-09 14:13:46.134045,"9044,9236,1603,9339",3.7852175599693867
81,0,2.773053306045978,2,0.40768817266570223,0.5698002152718847,1,0,2,3.617366970480366,1,0,4,1.604402680409582,0,2025-05-19 14:13:46.134045,"4399,3837,3432,5375",2.85192778483929
82,4,0.6673143548522555,6,3.3439816591621403,0.19916678234966345,0,0,3,2.81849945484313,0,3,0,0.7795147399973394,0,2025-05-17 23:31:46.134045,"762,4526",2.15335630476378
83,1,1.4671546235304256,6,1.3260474203686774,0.02995817043040072,0,0,1,2.5579022102319384,4,3,3,0.9529328141616634,0,2025-05-21 03:25:46.134045,"7521,138",4.312103054270342
84,6,2.8762458637057207,7,0.018962427708526648,0.856931414811984,1,0,1,3.934404336499301,2,3,1,0.8609104132231451,1,2025-05-25 04:25:46.134045,"7320,4488,4661,6295",0.9435152612747666
85,3,1.183094253629509,2,0.6373191355286458,0.49768985547726696,1,1,0,2.263765500718173,2,0,2,1.105067712195639,0,2025-05-28 22:53:46.134045,"727,7340,8551",3.6947527434497007
86,1,2.2821637386138325,1,0.0391044579836277,0.41446751475271426,0,0,3,2.2971721770505904,1,0,1,0.7949145210406354,0,2025-06-01 12:29:46.134045,"8299,3785,3350",4.727831036251988
87,1,3.424812186366273,1,0.1377955650813542,0.7629105150313491,1,0,3,3.7595387544190517,3,1,0,0.3931439882143184,0,2025-05-08 03:10:46.134045,"6336,6008,8194,4390",0.7064873013109729
88,0,0.0,5,0.2958067928661232,0.03315892171728407,0,2,6,5.021580413557155,0,2,4,1.0976984775014924,0,2025-05-17 23:44:46.134045,"5909,5452",2.8844292172276473
89,3,1.658751680671238,1,0.9936320659912143,0.7652152837183755,0,0,2,6.085897933032895,1,1,3,1.7193728727978799,0,2025-05-31 20:21:46.134045,5175,2.433505563036185
90,2,2.261635998567489,3,0.7201747866451951,0.4089144633737234,1,1,2,3.8103106296923097,2,0,3,0.6042092735450744,0,2025-05-27 10:20:46.134045,"3590,7840",0.9368158839167224
91,4,0.20795061405659188,8,0.24200797811994235,0.551623705320333,0,1,1,1.7199304278974885,2,1,3,0.6217963331360892,0,2025-05-30 04:24:46.134045,1824,2.2843982068197475
92,5,1.4703886097475318,9,0.7526883845934381,0.7524392405465417,0,1,0,4.113476905907495,1,0,2,1.950067114198108,0,2025-06-02 23:48:46.134045,"6948,9530,3606,4340,3453",2.519724037684527
93,1,3.0444986441418136,2,0.54434026840312,0.546810592023354,0,0,3,2.4433835170629843,1,3,4,0.4092780014756757,0,2025-05-08 08:48:46.134045,"208,7663,9074,4062",2.205777790610501
94,0,1.2956848512561105,0,0.7918456203758794,0.06177222346151101,0,0,2,3.0359873097337458,2,3,2,1.0248621534739368,0,2025-05-12 13:42:46.134045,"476,1351,2849",2.878538993375257
95,5,0.5156735641142411,1,0.28367649241234766,0.7286008912297187,0,0,1,5.372036332262757,1,0,4,1.2241633811240533,0,2025-05-20 12:03:46.134045,"3992,4735,2580",4.272736531145916
96,5,3.1308318231622607,9,1.4113018308693086,0.7863416339967855,1,0,5,5.132308078787355,1,0,0,0.7279909840260883,1,2025-05-11 10:48:46.134045,697,1.4017884946898689
97,1,2.444501693530432,9,0.06832979363642223,0.4618931580385729,0,1,1,4.3778629453069815,0,1,2,0.0,0,2025-05-30 01:10:46.134045,"9105,6418",1.2033437113971326
98,0,1.931143708495379,6,0.7362335734540075,0.4390594063171548,0,0,0,5.522564725903543,1,0,4,0.4144928639683423,0,2025-05-22 21:50:46.134045,"9639,3355,5159,5567,411",6.415609372479517
99,2,1.9016081728919778,8,3.3790600472180055,0.25192555963553787,1,0,0,0.0,3,0,2,1.156891017062923,0,2025-05-08 12:20:46.134045,5230,2.835010756065407
100,2,3.0282824711049416,8,0.816238270205031,0.6441627574311359,0,0,2,1.9922563143877277,1,1,4,0.7588972262426775,0,2025-05-22 09:59:46.134045,"5208,7117,9753,1781",3.169111761120757
101,2,2.2945283250092294,3,0.8726232229838661,0.8819885139891295,1,1,2,4.003918346826342,0,1,1,2.1440732094330723,0,2025-05-25 02:03:46.134045,"7427,359,3558,5771",0.83888898773788
102,6,2.645612146268542,7,0.10564762525673002,0.6559687408649841,0,1,2,2.973143988718414,0,3,2,1.2518353351473368,0,2025-05-13 16:57:46.134045,"617,6753,5328,6925",0.47946038353380704
103,6,1.307433605192915,0,1.3946883077591807,0.7713248890094715,1,0,3,4.737711361581912,0,0,3,0.5393587659007836,1,2025-05-19 02:52:46.134045,"730,8646",0.9230297490767516
104,5,0.08264499119325519,5,4.132778742035981,0.8374556446713294,1,0,2,1.2515070663139274,1,1,2,0.714479195388753,1,2025-06-04 17:08:46.134045,"5551,2759",3.0073213863847896
105,5,2.621913700208455,7,0.5171415739103034,0.22614419326398583,0,0,3,4.840312649749794,1,1,4,1.2963645183544623,0,2025-05-28 20:59:46.134045,"4722,1953,8763,627",3.7880581570302754
106,0,3.100927921666182,1,0.7494617272144923,0.40210433411708946,1,0,0,3.825739356021567,1,3,2,2.0465505726425888,0,2025-05-12 08:17:46.134045,6113,6.332422109250339
107,2,1.775438032327516,7,1.3306736190980903,0.43595961519368787,0,1,1,3.2240268903820466,2,2,4,1.0517467895311519,0,2025-05-27 17:11:46.134045,"5266,5354,648,3520",0.48890929614272666
108,5,2.8877565837935135,3,0.14676850142880954,0.5589003648810794,0,0,3,0.5764583982958955,4,0,0,1.3222233736039908,0,2025-05-14 01:09:46.134045,"7911,7668",4.293970320256631
109,5,1.6647872068230827,1,4.502126073318221,0.04918212133593092,0,0,4,6.364246663037701,0,2,2,0.8674368671830112,0,2025-05-10 08:23:46.134045,"1456,3974,5746,4103",3.2822739586646694
110,1,1.9093008386815276,3,0.9455309172902153,0.5884071710226527,0,1,1,1.2662095618195623,0,0,0,0.34902603141783806,0,2025-05-16 09:38:46.134045,"7519,1683,2209,2945",4.292142654693093
111,4,3.752428788387273,7,0.18341468761612986,0.08852148338343291,1,0,4,0.9569995602986396,2,2,0,1.2120253565658399,0,2025-05-27 09:30:46.134045,"4824,6511,8585,5117,283",0.8803137126475686
112,3,1.7084799462935694,3,0.6124650556548584,0.8065698912805918,0,0,4,3.9776901700105087,0,1,4,0.3552576563865911,0,2025-05-14 17:29:46.134045,3587,2.9712757757333508
113,2,1.6494306074466056,7,0.7022022684978959,0.963021987728105,0,0,5,4.711840939791237,2,0,0,1.1247002450500492,0,2025-05-26 02:48:46.134045,"451,7756",6.068115628657501
114,2,0.1300204767926858,6,0.6355448926971266,0.2897590058957943,0,0,3,2.860047880762447,0,1,2,0.7215203613633443,0,2025-05-14 10:47:46.134045,"933,8668,7458",1.551826710687056
115,2,2.690073159980992,4,1.7724544459871747,0.5066151248109416,0,1,0,1.7639849210859961,1,0,1,0.16723947724279487,0,2025-05-10 14:59:46.134045,"9072,495",3.6616582925859653
116,6,1.290158634545693,7,0.6358730491838469,0.8231875450067684,0,0,3,2.340864024177116,1,0,3,1.383849922962777,0,2025-05-09 02:37:46.134045,"5685,2160,9763",4.36295012364363
117,4,2.1472250110126927,1,0.5870193006779532,0.31465400604730287,0,1,1,3.6636141472397927,2,1,2,1.8519153531239314,0,2025-05-13 20:36:46.134045,"7222,1508",3.229605577326385
118,1,1.684960912567282,2,0.5831078480212559,0.15777769334881364,0,0,4,2.1584356010958556,1,2,3,0.3892212980271118,0,2025-06-03 10:22:46.134045,"7678,8927,1298,9294",3.752914046008815
119,1,1.5542072845080572,3,2.2565936534436553,0.7390625237018742,0,0,2,4.881511447285963,1,1,4,1.186079950657684,0,2025-06-02 10:58:46.134045,3807,3.8083836466273713
120,1,1.8822705101383566,9,0.5530812109864902,0.6983616211557877,1,2,4,1.8183509492126937,0,1,0,1.1046477971576933,0,2025-06-03 00:09:46.134045,"6709,5299",1.9584561637875622
121,5,1.9591476604405917,4,0.021145485218856105,0.5699454606721711,0,0,2,0.6452907813961444,3,0,0,1.3128681590597246,0,2025-06-05 11:38:46.134045,1507,1.9842321199564625
122,3,3.176079059635225,4,0.6824600566706673,0.9444367954338945,0,0,2,5.392853899773348,0,1,3,1.1737343426899685,0,2025-05-20 19:32:46.134045,"1115,4901",3.6329421256972068
123,1,3.520211856692579,0,0.4890880466805993,0.9551223034663017,0,1,3,1.9896025995190674,0,0,2,0.765631217311505,0,2025-05-15 21:58:46.134045,"8211,7762,1422,4219,8367",1.288473059275922
124,3,2.6507151024415876,0,3.595628033394335,0.8615494303810376,0,1,2,3.765196726025317,0,1,0,0.8990754464297598,0,2025-05-30 18:12:46.134045,"5771,655",0.9787137444683092
125,6,3.2715559134708565,0,0.9748619508865912,0.2930200854185935,0,0,2,3.8305658280507338,0,0,4,1.65925262257826,0,2025-05-13 17:35:46.134045,9462,7.105011111629923
126,2,2.854147470746715,4,0.40098672059747953,0.2253659307523257,1,0,2,2.036273652666647,0,0,3,0.9048404424565772,0,2025-05-21 01:28:46.134045,7372,4.0225434501462445
127,5,2.49461410193582,1,5.991749758232908,0.8357406942938232,0,0,2,3.948224278494955,2,2,3,2.082801489694364,1,2025-05-19 10:44:46.134045,4564,5.263318303231075
128,2,3.4551429352934444,2,0.42502566210017445,0.6513608913486458,1,0,1,2.3727936002596968,2,2,4,1.4842321266251015,1,2025-05-15 16:04:46.134045,"1234,5018,1008,7790,3742",6.37473810076531
129,1,0.6915253690746765,7,2.1596955315123143,0.39612603038768956,0,0,1,1.9690527101498436,2,2,0,0.7636941782479905,0,2025-05-09 21:09:46.134045,"6076,9446,1666,4855",3.0478197400821214
130,7,1.3155377987507635,9,1.5728085049207097,0.4097564765672521,0,1,0,2.9340600544181967,1,1,3,1.011752314538436,0,2025-05-25 10:52:46.134045,"6046,9863,8876,1533",4.987117732754454
131,8,1.179098473143907,7,0.9304811594750976,0.8533321828885138,1,1,3,5.6350803665137565,0,0,1,1.6294441453217168,1,2025-06-03 16:42:46.134045,"6061,2225,8258,3057,2551",2.889087592411354
132,0,1.6986120833605416,9,0.7808975894282557,0.16324726322393956,1,1,2,3.4767877804912715,1,1,2,0.3016325580881696,0,2025-05-12 06:50:46.134045,"270,950,6179,9826",2.572303725429919
133,3,2.6859003580842944,1,3.0880764119891277,0.9439734097962446,0,0,3,4.395687997316033,1,0,2,1.1988886636236913,0,2025-05-27 22:38:46.134045,"9640,1657,2313,1894,436",1.7343174784941122
134,6,0.8848965478132518,7,0.9667709390840235,0.6332152935116366,0,1,2,3.1227037614324886,2,2,3,0.6839303595792141,1,2025-05-29 16:47:46.134045,"1740,9794,9194,9986,5450",5.127932578335911
135,1,2.5027991968111056,8,0.7058628230067414,0.7913577333744244,0,0,4,2.2198860076225007,2,1,4,1.1641224237202519,0,2025-05-14 05:01:46.134045,1388,2.6621190632405174
136,9,1.4129390815957623,9,0.6560147464547477,0.3708665544213604,0,0,3,3.524888757251459,0,1,2,1.4126039135040795,0,2025-05-18 23:31:46.134045,6063,1.1880705566736087
137,3,1.6529359468130569,9,0.48417238410743174,0.5868963602587237,0,0,3,2.7999710936270126,3,0,0,0.8687342297435369,0,2025-05-14 07:50:46.134045,"5157,1476",1.348453823789442
138,3,2.2004156634338563,5,0.788822477605909,0.7499904939613866,0,1,0,2.343492764852068,1,3,3,0.9348683699065473,0,2025-05-28 04:25:46.134045,"1698,2688,2816",3.428989870749257
139,6,3.6812481390614993,0,0.19161027010552856,0.43512997220784055,0,0,0,4.151338727263861,0,0,4,0.7414884124656819,0,2025-05-17 14:52:46.134045,"143,7244,6613",4.4851192648900975
140,2,1.2876529477458727,2,0.10101051625249423,0.487936341606241,0,1,7,3.657954587637245,4,1,4,1.2142793799681506,1,2025-05-12 10:28:46.134045,"7924,4011,1791",1.5859027055180368
141,0,1.9199066065065642,4,1.169586257837413,0.5820798288641306,0,1,3,2.068009744773825,1,2,4,0.9587803890164684,0,2025-05-13 02:43:46.134045,"8971,9615",2.470889821714254
